"LibelleCourt__c","LibelleLong__c","Name","Fin__c"
"Equitation","Equitation","80039001","3999-12-31T00:00:00Z"
"Bour Sel Cor","Bourrelier - Sellier - Cordonnier","80039002","3999-12-31T00:00:00Z"
"Cuisinier","Cuisinier","80039003","3999-12-31T00:00:00Z"
"Informaticie","Informaticien","80039004","3999-12-31T00:00:00Z"
"Peintre","Peintre","80039005","3999-12-31T00:00:00Z"
"Pi Me Hel Av","Pilote - Mécanicien hélico - Avion","80039006","3999-12-31T00:00:00Z"
"Electricien","Electricien","80039008","3999-12-31T00:00:00Z"
"Maçon","Maçon","80039009","3999-12-31T00:00:00Z"
"Plombier","Plombier","80039010","3999-12-31T00:00:00Z"
"Méca auto","Mécanicien auto","80039011","3999-12-31T00:00:00Z"
"Condu PL TC","Conducteur PL ou TC","80039012","3999-12-31T00:00:00Z"
"Electrotech","Electrotechnicien","80039013","3999-12-31T00:00:00Z"
" Maré ferra","Maréchal-ferrant","80039014","3999-12-31T00:00:00Z"
"Moni auto ec","Moniteur auto-école","80039016","3999-12-31T00:00:00Z"
"Choriste","Choriste","80039017","3999-12-31T00:00:00Z"
"Horticulteur","Horticulteur","80039018","3999-12-31T00:00:00Z"
"Musicien","Musicien","80039019","3999-12-31T00:00:00Z"
"Autre","Autre","80030000","3999-12-31T00:00:00Z"
"Agt Acc Inf","Agent d'accueil et d'information","80039020","3999-12-31T00:00:00Z"
"Agt Acc Sec","Agent d'accueil et de sécurité","80039021","3999-12-31T00:00:00Z"
"Agt Entr","Agent d'entretien","80039022","3999-12-31T00:00:00Z"
"Aide Dres Ca","Aide-dresseur canin","80039023","3999-12-31T00:00:00Z"
"Aide Mon Aut","Aide-moniteur auto-école","80039024","3999-12-31T00:00:00Z"
"Aide Mon Spo","Aide-moniteur de sport","80039025","3999-12-31T00:00:00Z"
"Armurier","Armurier","80039015","3999-12-31T00:00:00Z"
"Ass Info","Assistant informaticien","80039026","3999-12-31T00:00:00Z"
"Barman","Barman","80039027","3999-12-31T00:00:00Z"
"Car Peintre","Carrossier peintre","80039007","3999-12-31T00:00:00Z"
"Carrossier","Carrossier","80039028","3999-12-31T00:00:00Z"
"Coiffeur","Coiffeur","80039029","3999-12-31T00:00:00Z"
"Com Cuisine","Commis de cuisine","80039030","3999-12-31T00:00:00Z"
"Condu VL","Conducteur VL","80039031","3999-12-31T00:00:00Z"
"Dess Bati","Dessinateur en batiment","80039032","3999-12-31T00:00:00Z"
"Electroni","Electronicien","80039033","3999-12-31T00:00:00Z"
"Frigoriste","Frigoriste","80039034","3999-12-31T00:00:00Z"
"Imprimeur","Imprimeur","80039035","3999-12-31T00:00:00Z"
"Infograph","Infographiste","80039036","3999-12-31T00:00:00Z"
"Magasinier","Magasinier","80039037","3999-12-31T00:00:00Z"
"Manuten","Manutentionnaire","80039038","3999-12-31T00:00:00Z"
"Menusier","Menuisier","80039041","3999-12-31T00:00:00Z"
"Photographe","Photographe","80039042","3999-12-31T00:00:00Z"
"Piroguier","Piroguier","80039043","3999-12-31T00:00:00Z"
"Emp Restau","Employé de restauration","80039044","3999-12-31T00:00:00Z"
"Secrétair","Secrétaire","80039045","3999-12-31T00:00:00Z"
"Sec Compta","Secrétaire-comptable","80039046","3999-12-31T00:00:00Z"
"Sec Conduc","Secrétaire-conducteur","80039047","3999-12-31T00:00:00Z"
"Sec Vaguem","Secrétaire-vaguemestre","80039048","3999-12-31T00:00:00Z"
"Serrurier","Serrurier","80039049","3999-12-31T00:00:00Z"
"Serveur","Serveur","80039050","3999-12-31T00:00:00Z"
"Standard","Standardiste","80039051","3999-12-31T00:00:00Z"
"Tech Orchest","Technicien d'orchestre","80039052","3999-12-31T00:00:00Z"