"Name","code__c","debut__c","fin__c","lib_long__c","SelRefOrigineArme__r.Name"
"SDT","MAT_T741","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Soldat","MAT"
"VA","MER_M031","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Vice-Amiral","MER"
"AL","MER_M03A","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Amiral","MER"
"CA","MER_M041","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Contre-Amiral","MER"
"CV","MER_M101","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Capitaine de vaisseau","MER"
"CF","MER_M111","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Capitaine de frégate","MER"
"CC","MER_M121","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Capitaine de corvette","MER"
"LV","MER_M201","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Lieutenant de vaisseau","MER"
"EV1","MER_M211","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Enseigne de vaisseau de 1ère classe","MER"
"EV2","MER_M221","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Enseigne de vaisseau de 2ème classe","MER"
"ASP","MER_M301","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Aspirant","MER"
"MAJ","MER_M411","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Major","MER"
"MP","MER_M511","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Maître principal","MER"
"PM","MER_M521","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Premier maître","MER"
"MT","MER_M611","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Maître","MER"
"SM","MER_M631","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Second Maître","MER"
"QM1","MER_M711","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Quartier-maître de 1ère classe","MER"
"QM2","MER_M721","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Quartier-maître de 2ème classe","MER"
"MO1","MER_M731","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Matelot de 1ère classe","MER"
"MO2","MER_M741","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Matelot de 2ème classe","MER"
"GPAHC","POL_P713","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Gardien de la paix auxiliaire hors classe","POL"
"GPACE","POL_P723","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Gardien de la paix auxiliaire de classe exp.","POL"
"GPA1C","POL_P733","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Gardien de la paix auxiliaire de 1ère classe","POL"
"GPA2C","POL_P743","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Gardien de la paix auxiliaire de 2ème classe","POL"
"MGI","SAN_S033","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Médecin général inspecteur","SAN"
"MG","SAN_S043","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Médecin général","SAN"
"COL","SAN_S101","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Colonel","SAN"
"LCL","SAN_S111","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Lieutenant-Colonel","SAN"
"CDT","SAN_S121","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Commandant","SAN"
"CNE","SAN_S201","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Capitaine","SAN"
"LTN","SAN_S211","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Lieutenant","SAN"
"SL","SAN_S221","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sous-Lieutenant","SAN"
"ASP","SAN_S301","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Aspirant","SAN"
"MAJ","SAN_S411","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Major","SAN"
"ADC","SAN_S511","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","adjudant-chef","SAN"
"ADJ","SAN_S521","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","adjudant","SAN"
"SCH","SAN_S611","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","sergent-chef","SAN"
"SGT","SAN_S631","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","sergent","SAN"
"CCH","SAN_S711","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","caporal-chef","SAN"
"CAL","SAN_S721","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","caporal","SAN"
"1CL","SAN_S731","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","soldat de 1ère classe","SAN"
"2CL","SAN_S741","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","soldat de 2ème classe","SAN"
"MAR","TRN_T01A","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","maréchal de france","TRN"
"GDI","TRN_T031","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","général de division","TRN"
"GAR","TRN_T03A","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","général d'armée","TRN"
"GCA","TRN_T03C","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","général de corps d'armée","TRN"
"GBR","TRN_T041","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","général de brigade","TRN"
"COL","TRN_T101","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Colonel","TRN"
"LCL","TRN_T111","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Lieutenant-Colonel","TRN"
"CDT","TRN_T121","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Commandant","TRN"
"CNE","TRN_T201","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Capitaine","TRN"
"LTN","TRN_T211","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Lieutenant","TRN"
"SLT","TRN_T221","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sous-Lieutenant","TRN"
"ASP","TRN_T301","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Aspirant","TRN"
"MAJ","TRN_T411","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Major","TRN"
"ADC","TRN_T511","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Adjudant-Chef","TRN"
"ADJ","TRN_T521","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Adjudant","TRN"
"SMJ","TRN_T531","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sergent-Major","TRN"
"SCH","TRN_T611","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sergent-Chef","TRN"
"SGT","TRN_T631","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sergent","TRN"
"CCH","TRN_T711","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Caporal-Chef","TRN"
"CPL","TRN_T721","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Caporal","TRN"
"1CL","TRN_T731","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Soldat de 1ère classe","TRN"
"SDT","TRN_T741","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","soldat","TRN"
"GDI","TRS_T031","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","général de division","TRS"
"GAR","TRS_T03A","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","général d'armée","TRS"
"GCA","TRS_T03C","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","général de corps d'armée","TRS"
"GBR","TRS_T041","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","général de brigade","TRS"
"COL","TRS_T101","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","colonel","TRS"
"LCL","TRS_T111","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","lieutenant-colonel","TRS"
"CDT","TRS_T121","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","commandant","TRS"
"CNE","TRS_T201","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","capitaine","TRS"
"LTN","TRS_T211","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","lieutenant","TRS"
"SLT","TRS_T221","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","sous-lieutenant","TRS"
"ASP","TRS_T301","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","aspirant","TRS"
"MAJ","TRS_T411","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","major","TRS"
"ADC","TRS_T511","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","adjudant-chef","TRS"
"ADJ","TRS_T521","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","adjudant","TRS"
"SMJ","TRS_T531","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","sergent-major","TRS"
"SCH","TRS_T611","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","sergent-chef","TRS"
"SGT","TRS_T631","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","sergent","TRS"
"MAR","TRS_T01A","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Maréchal de france","TRS"
"CAN","ART_T744","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Canonnier","ART"
"CAN","ART_T734","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Canonnier de 1ère classe","ART"
"GDI","MAT_T031","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Général de division","MAT"
"GAR","MAT_T03A","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Général d'armée","MAT"
"GCA","MAT_T03C","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Général de corps d'armée","MAT"
"GBR","MAT_T041","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Général de brigade","MAT"
"COL","MAT_T101","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Colonel","MAT"
"LCL","MAT_T111","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Lieutenant-Colonel","MAT"
"CDT","MAT_T121","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Commandant","MAT"
"CNE","MAT_T201","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Capitaine","MAT"
"LTN","MAT_T211","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Lieutenant","MAT"
"SLT","MAT_T221","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sous-Lieutenant","MAT"
"ASP","MAT_T301","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Aspirant","MAT"
"MAJ","MAT_T411","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Major","MAT"
"ADC","MAT_T511","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Adjudant-Chef","MAT"
"ADJ","MAT_T521","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Adjudant","MAT"
"SMJ","MAT_T531","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sergent-Major","MAT"
"SCH","MAT_T611","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sergent-Chef","MAT"
"SGT","MAT_T631","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Sergent","MAT"
"CCH","MAT_T711","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Caporal-Chef","MAT"
"CPL","MAT_T721","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Caporal","MAT"
"1CL","MAT_T731","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Soldat de 1ère classe","MAT"
"LTNMAJ","GND_G731","2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","Lieutenant-Major","GND"