"date_debut__c","Date_fin__c","Libelle_Court__c","Libelle_long__c","Libelle_technique__c","Name"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Arme blindée cavalerie","ABC","ABC"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Armée de L'air","AIR","AIR"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Artillerie","ART","ART"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Commissariat","COM","COM"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Coopération","COP","COP"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Délégation Générale pour l'Armement","DGA","DGA"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Service des essences des armées","ESS","ESS"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Génie","GEN","GEN"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Gendarmerie","GND","GND"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Infanterie","INF","INF"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Matériel","MAT","MAT"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Marine nationale","MER","MER"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Police nationale","POL","POL"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Service de santé des armées","SAN","SAN"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Train","TRN","TRN"
"2023-01-27T15:10:50.000+0000","3999-01-27T15:10:50.000+0000","RE","Transmissions","TRS","TRS"