"Code__c","LibelleTechnique__c","Name","LibelleLong__c","VisibleCandidat__c"
"St0001","a repartir jury","A répartir par Jury","A répartir par Jury","false"
"St0002","a repartir session","A répartir par session","A répartir par session","false"
"St0003","admis","Admis","Admis","true"
"St0004","admissible","Admissible","Admissible","true"
"St0005","apte","Apte","Apte","true"
"St0006","inapte temp","Inapte Temporaire","Inapte Temporaire","true"
"St0007","inapte def","Inapte Définitif","Inapte Définitif","true"
"St0008","attente aptitude","Attente aptitude","Attente aptitude","true"
"St0009","attente convoc","Attente convocation","Attente convocation","true"
"St0010","attente resultats","Attente de résultats","Attente de résultats","true"
"St0011","attente rdv","Attente prise de rendez-vous","Attente prise de rendez-vous","true"
"St0012","autoriser a concourir","Autorisé à concourir","Autorisé à concourir","true"
"St0013","avis saisi","Avis Saisi","Avis Saisi","false"
"St0014","echoue","Échoué","Échoué","false"
"St0015","reussi","Réussi","Réussi","false"
"St0016","ballotage","Ballottage","Ballottage","false"
"St0017","certificat depose","Certificat déposé","Certificat déposé","true"
"St0018","convoque ","Convoqué","Convoqué","true"
"St0019","depot web","Dépôt Web","Dépôt Web","true"
"St0020","entretien passe","Entretien passé","Entretien passé","true"
"St0021","etude faite","Étude faite","Étude faite","true"
"St0022","evaluation faite","Évaluation Faite","Évaluation Faite","false"
"St0023","inscription a corriger","Inscription à corriger","Inscription à corriger","true"
"St0024","inscription ok","Inscription OK","Inscription OK","false"
"St0025","inscrit","Inscrit","Inscrit","true"
"St0026","liste complementaire","Liste complémentaire","Liste complémentaire","true"
"St0027","non admis","Non Admis","Non Admis","true"
"St0028","non admissible","Non Admissible","Non Admissible","true"
"St0029","notes saisies","Notes saisies","Notes saisies","false"
"St0030","pret a convoquer","Prêt à convoquer","Prêt à convoquer","false"
"St0031","probleme condition","Problème conditions","Problème conditions","false"
"St0032","probleme identite","Problème d'identité","Problème d'identité","false"
"St0033","probleme homonymie","Problème homonymie PA","Problème homonymie PA","false"
"St0034","rejete","Rejeté","Rejeté","true"
"St0035","reparti jury","Réparti par Jury","Réparti par Jury","false"
"St0036","non applicable","Non concerné","Non concerné","true"
"St0037","test passe","Test passé","Test passé","true"
"St0038","visite passee","Visite passée","Visite passée","true"
"St0039","absent","Absent","Absent","true"
"St0040","abandon","Abandonnée","Abandonnée","true"
"St0041","inscription en cours","Inscription en cours","Inscription en cours","true"