"Name","Raep__c","ImageEspaceCandidat__c","LibelleLongSsPrefixe__c","lib_technique__c","Interne__c","debut__c","fin__c","SelRefCorps__r.Code__c","SelModeRecrutement__c","Filiere__c"
"APJA","false","gav-apja.png","Agent de Police Judiciaire Adjoint","gavapja","false","2024-01-23T09:16:50.000+0000","2999-12-31T12:00:00.000+0000","0007","RecrutementContinu","false"
"INTERNE","false","sog-interne.png","Interne","soginterne","true","2024-01-04T10:03:17.000+0000","2999-12-31T12:00:00.000+0000","0004","Concours","false"
"SD","false","og-semi-direct.png","Semi direct","ogsd","true","2024-01-23T15:18:15.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","false"
"TITRES","false","og-titre.png","Titres","ogtitre","false","2024-01-23T15:17:43.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","true"
"OPJ","false","null","Officier de Police Judiciaire","sogopj","true","2024-01-24T08:30:27.000+0000","2999-12-31T12:00:00.000+0000","0004","Examen","false"
"UNIV","false","og-universitaire.png","Universitaire","oguniv","false","2024-01-08T12:39:50.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","false"
"EXTERNE","false","sog-externe.png","Externe","sogexterne","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0004","Concours","false"
"EP","false","null","Emploi particulier","gavep","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0007","RecrutementContinu","false"
"CPT","false","null","Classe préparatoire talent","gavcpt","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0007","Concours","false"
"OA","false","null","Officier des armées","ogoa","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","false"
"CAT A","false","null","Fonctionnaire civil catégorie A","ogcata","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","false"
"TITRES","false","null","Titres","octatitre","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0002","Concours","true"
"SD CAT B","false","null","Semi direct et Fonctionnaire civil catégorie B","octasdcatb","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0002","Concours","false"
"OA CAT A","false","null","Officier des armées et Fonctionnaire civil catégorie A ","octaoccata","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0002","Concours","false"
"RANG","true","null","Rang","ograng","true","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","false"
"DIRECT","false","null","Direct","octadirect","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0002","Concours","false"
"OSC","false","null","OSC","octaocs","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0002","Concours","false"
"RANG","true","null","Rang","octarang","true","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0002","Concours","false"
"OSC ENC","false","null","OSC Encadrement","ogoscenc","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","false"
"SCI","false","null","Scientifique","ogsci","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","false"
"RES","false","null","Réserviste","res","false","2024-01-08T12:39:18.000+0000","2999-12-31T12:00:00.000+0000","0000","RecrutementContinu","false"
"OSC S","false","null","OSC Spécialiste","ogoscs","false","2024-01-23T15:17:43.000+0000","2999-12-31T12:00:00.000+0000","0001","Concours","true"