"Code_departement__c","Sel_Ref_Departement__c.Name","Code_postal__c","Date_de_debut__c","Date_de_fin__c","Libelle_long__c","Name"
"93","Seine-Saint-Denis","93000","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","BOBIGNY","93008"
"93","Seine-Saint-Denis","93100","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","MONTREUIL","93048"
"93","Seine-Saint-Denis","93110","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ROSNY SOUS BOIS","93064"
"93","Seine-Saint-Denis","93120","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LA COURNEUVE","93027"
"93","Seine-Saint-Denis","93130","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","NOISY LE SEC","93053"
"93","Seine-Saint-Denis","93140","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","BONDY","93010"
"93","Seine-Saint-Denis","93150","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LE BLANC MESNIL","93007"
"93","Seine-Saint-Denis","93160","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","NOISY LE GRAND","93051"
"93","Seine-Saint-Denis","93170","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","BAGNOLET","93006"
"93","Seine-Saint-Denis","93190","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LIVRY GARGAN","93046"
"93","Seine-Saint-Denis","93200","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ST DENIS","93066"
"93","Seine-Saint-Denis","93210","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ST DENIS","93066"
"93","Seine-Saint-Denis","93220","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","GAGNY","93032"
"93","Seine-Saint-Denis","93230","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ROMAINVILLE","93063"
"93","Seine-Saint-Denis","93240","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","STAINS","93072"
"93","Seine-Saint-Denis","93250","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","VILLEMOMBLE","93077"
"93","Seine-Saint-Denis","93260","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LES LILAS","93045"
"93","Seine-Saint-Denis","93270","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","SEVRAN","93071"
"93","Seine-Saint-Denis","93290","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","TREMBLAY EN FRANCE","93073"
"93","Seine-Saint-Denis","93300","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","AUBERVILLIERS","93001"
"93","Seine-Saint-Denis","93310","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LE PRE ST GERVAIS","93061"
"93","Seine-Saint-Denis","93320","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LES PAVILLONS SOUS BOIS","93057"
"93","Seine-Saint-Denis","93330","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","NEUILLY SUR MARNE","93050"
"93","Seine-Saint-Denis","93340","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LE RAINCY","93062"
"93","Seine-Saint-Denis","93350","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LE BOURGET","93013"
"93","Seine-Saint-Denis","93360","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","NEUILLY PLAISANCE","93049"
"93","Seine-Saint-Denis","93370","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","MONTFERMEIL","93047"
"93","Seine-Saint-Denis","93380","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","PIERREFITTE SUR SEINE","93059"
"93","Seine-Saint-Denis","93390","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","CLICHY SOUS BOIS","93014"
"93","Seine-Saint-Denis","93400","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ST OUEN","93070"
"93","Seine-Saint-Denis","93410","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","VAUJOURS","93074"
"93","Seine-Saint-Denis","93420","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","VILLEPINTE","93078"
"93","Seine-Saint-Denis","93430","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","VILLETANEUSE","93079"
"93","Seine-Saint-Denis","93440","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","DUGNY","93030"
"93","Seine-Saint-Denis","93450","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","L ILE ST DENIS","93039"
"93","Seine-Saint-Denis","93460","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","GOURNAY SUR MARNE","93033"
"93","Seine-Saint-Denis","93470","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","COUBRON","93015"
"93","Seine-Saint-Denis","93500","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","PANTIN","93055"
"93","Seine-Saint-Denis","93600","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","AULNAY SOUS BOIS","93005"
"93","Seine-Saint-Denis","93700","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","DRANCY","93029"
"93","Seine-Saint-Denis","93800","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","EPINAY SUR SEINE","93031"