"Name","LibelleCourt__c","LibelleLong__c","Fin__c","Debut__c"
"122","AGD","Administration et gestion des données","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"153","ANA_RENS","Analyse du renseignement","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"100","ASSUR_QUAL","Assurance qualité","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"116","AUDIT_FINANCIER","Audit financier","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"132","AUD_FIN_EXP_COM","Audit financier et expertise comptable","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"110","CONT_ADMIN","Contentieux administratif","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"115","CONTROL_GESTION","Contrôle de gestion et aide a la décision","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"120","CTRL_INTERNE","Contrôle interne","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"19","DADM","Droit administratif","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"56","DCOMMU","Droit communautaire et européen","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"57","DCONST","Droit constitutionnel et libertés publiques","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"111","DROIT_FCT_PUB","Droit de la fonction publique","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"133","DT_FCT_PUB_MAR","Droit de la fonction publique, marché public, contentieux administratif","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"129","D_CPRIV_PROPINT","Droit des contrats privés et propriété intellectuelle","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"117","DROIT_NV_TECH","Droit des nouvelles technologies","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"151","DT NUM_PROT_DON","Droit du numérique et protection de la donnée","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"130","D_ADM_EUROP","Droit et administration européenne","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"109","DROIT_IMMO","Droit immobilier","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"134","DI_MOP_MISE","Droit immobilier, maîtrise d'ouvrage et entretien du patrimoine, management de l'immobilier et 
des services de l'entreprise","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"58","DPENAL","Droit pénal","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"92","DPUBLIC","Droit public","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"131","EXP_COMPT","Expertise comptable","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"93","FPUBLIQUES","Finances publiques","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"150","FP_AUD FIN_EX COM","Finances publiques, audit financier et expertise comptable, marché public et contentieux administratif","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"105","FI_EXP_FISC","Finances publiques, expertise comptable","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"135","FISC_REM_PART","Fiscalité et rémunération des particuliers","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"60","GEOECOH","Géographie économique et humaine","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"47","GESTION","Gestion","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"149","GEST_RESSOR_HUM","Gestion des ressources humaines","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"95","HIS - GEO","Histoire - géographie","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"76","HIST CONTEMP","Histoire contemporaine","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"102","INFORMATIQUE","Informatique, sécurité de l'information, intelligence artificielle et robotique ; sciences des données","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"91","LOG MAINT INDUS","Logistique, ingénierie et maintenance industrielle","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"89","MO ENT PATRI","Maitrise d'ouvrage et entretien du patrimoine","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"148","MAIT_RIS_AID_DEC","Maîtrise des risques et aide à la décision","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"106","MAN_IMMO_SERV","Management immobilier et services entreprise","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"108","MARCHE_PUBLIQUE","Marché public","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"62","MATH","Mathématiques","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"126","PRO_DON_DSI","Protection des données et droits des systèmes d'information","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"64","RELINT","Relations internationales","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"45","RH","Ressources humaines","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"65","SCECO","Sciences économiques","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"94","SEG","Sciences économiques et de gestion","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"127","SESG","Sciences économiques et sciences de gestion","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"147","SCI_ECO_DT_FP_CP","Sciences économiques, sciences de gestion, droit de la fonction publique, droit des contrats privés et propriété intellectuelle","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"63","PHYS","Sciences physiques","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"107","SECU_SANTE_TRAV","Sécurité et santé au travail","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"138","SYS_COMM_CR_ME","Système de communication de crise et de contre mesure électronique","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"136","SYS_INF_COMM_GE","Système d’information et de communication, génie logiciel","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"
"128","SIC_SCCCME_CGL","Systèmes d'information et de communication, systèmes de communication de crise et de contre-mesures électroniques, cybersécurité et génie logiciel","3999-04-12T10:09:06Z","2023-04-12T10:09:06Z"